sample_id,field,year,layer,u0,u1
0,Management Occupations,2023,1,15.343374,12.884823
1,Educational Instruction and Library Occupations,2023,1,17.351929,4.533933
2,Business and Financial Operations Occupations,2020,1,17.192982,5.7355638
3,Sales and Related Occupations,2017,1,17.895264,2.8311458
4,Business and Financial Operations Occupations,2022,1,17.899082,2.8349268
5,Business and Financial Operations Occupations,2023,1,17.341177,9.204945
6,Sales and Related Occupations,2022,1,16.481504,9.373526
7,Computer and Mathematical Occupations,2010,1,23.208067,7.597006
8,Computer and Mathematical Occupations,2023,1,17.036377,9.699299
9,Computer and Mathematical Occupations,2014,1,17.20418,3.571798
10,Educational Instruction and Library Occupations,2023,1,16.736015,8.283606
11,Management Occupations,2021,1,17.291275,9.945129
12,Management Occupations,2021,1,17.155354,9.819354
13,Business and Financial Operations Occupations,2024,1,16.464539,9.413584
14,Educational Instruction and Library Occupations,2016,1,16.92175,7.3588667
15,Educational Instruction and Library Occupations,2016,1,17.29744,14.743689
16,Educational Instruction and Library Occupations,2022,1,18.59225,10.300574
17,Sales and Related Occupations,2019,1,17.979988,3.3152556
18,Educational Instruction and Library Occupations,2023,1,16.469328,9.462147
19,Educational Instruction and Library Occupations,2023,1,16.464155,9.468682
20,Computer and Mathematical Occupations,2019,1,17.680143,8.620774
21,Sales and Related Occupations,2024,1,18.23361,1.626904
22,Educational Instruction and Library Occupations,2023,1,18.874815,10.471658
23,Sales and Related Occupations,2015,1,16.79641,8.61079
24,Business and Financial Operations Occupations,2023,1,23.208183,7.5970297
25,Management Occupations,2020,1,16.486204,9.546524
26,Computer and Mathematical Occupations,2024,1,16.925465,7.3662753
27,Management Occupations,2023,1,17.296566,14.744477
28,Educational Instruction and Library Occupations,2020,1,17.337675,4.9102626
29,Educational Instruction and Library Occupations,2023,1,17.60009,3.5347605
30,Management Occupations,2018,1,17.305298,3.9666233
31,Sales and Related Occupations,2015,1,17.33807,4.9090314
32,Management Occupations,2022,1,21.807083,11.399266
33,Computer and Mathematical Occupations,2017,1,16.770315,8.391124
34,Sales and Related Occupations,2020,1,20.780033,8.2711525
35,Educational Instruction and Library Occupations,2024,1,18.848661,14.630045
36,Business and Financial Operations Occupations,2024,1,17.99181,10.143737
37,Sales and Related Occupations,2025,1,18.847593,14.628866
38,Computer and Mathematical Occupations,2016,1,17.26736,9.251153
39,Sales and Related Occupations,2018,1,16.72501,8.220047
40,Business and Financial Operations Occupations,2022,1,16.917038,7.17724
41,Sales and Related Occupations,2018,1,17.600557,3.521777
42,Educational Instruction and Library Occupations,2020,1,16.90693,6.80625
43,Management Occupations,2020,1,18.241936,1.616754
44,Business and Financial Operations Occupations,2018,1,16.96483,7.924422
45,Business and Financial Operations Occupations,2021,1,17.338568,4.5407467
46,Management Occupations,2020,1,17.265547,3.9869616
47,Sales and Related Occupations,2024,1,18.23398,1.6264776
48,Educational Instruction and Library Occupations,2022,1,16.743576,8.34407
49,Educational Instruction and Library Occupations,2019,1,17.691687,8.625323
50,Sales and Related Occupations,2017,1,18.2409,1.6185836
51,Management Occupations,2019,1,18.175858,10.150773
52,Educational Instruction and Library Occupations,2015,1,17.428513,9.119273
53,Computer and Mathematical Occupations,2020,1,17.552729,8.891563
54,Management Occupations,2016,1,17.451147,8.408139
55,Business and Financial Operations Occupations,2018,1,17.73897,10.129244
56,Management Occupations,2015,1,16.936995,7.5711184
57,Business and Financial Operations Occupations,2023,1,17.132532,5.8213873
58,Sales and Related Occupations,2019,1,17.238844,5.663065
59,Business and Financial Operations Occupations,2021,1,17.150084,9.809361
60,Sales and Related Occupations,2019,1,17.000732,6.1972404
61,Computer and Mathematical Occupations,2018,1,16.911205,7.125288
62,Computer and Mathematical Occupations,2021,1,17.53695,8.393098
63,Business and Financial Operations Occupations,2013,1,12.025982,15.476594
64,Management Occupations,2022,1,17.253544,9.865755
65,Educational Instruction and Library Occupations,2023,1,17.3376,4.914277
66,Sales and Related Occupations,2015,1,17.474207,10.074425
67,Business and Financial Operations Occupations,2020,1,17.445255,9.088758
68,Educational Instruction and Library Occupations,2024,1,18.183405,10.134661
69,Computer and Mathematical Occupations,2023,1,21.808624,11.400958
70,Management Occupations,2025,1,16.742968,8.26019
71,Management Occupations,2019,1,16.930368,7.2641764
72,Educational Instruction and Library Occupations,2023,1,17.614067,8.720002
73,Sales and Related Occupations,2019,1,18.848104,14.6296625
74,Computer and Mathematical Occupations,2018,1,18.98068,10.649924
75,Educational Instruction and Library Occupations,2023,1,16.737461,8.213643
76,Business and Financial Operations Occupations,2017,1,17.267313,5.262012
77,Sales and Related Occupations,2018,1,17.601358,3.522474
78,Management Occupations,2021,1,16.52012,9.205906
79,Business and Financial Operations Occupations,2016,1,16.957685,7.9472284
80,Sales and Related Occupations,2024,1,17.659592,10.124669
81,Computer and Mathematical Occupations,2014,1,17.636421,8.625034
82,Computer and Mathematical Occupations,2014,1,17.03148,7.8544493
83,Sales and Related Occupations,2019,1,16.936508,7.6907263
84,Business and Financial Operations Occupations,2022,1,17.257242,5.444236
85,Educational Instruction and Library Occupations,2023,1,16.77236,8.288217
86,Computer and Mathematical Occupations,2021,1,17.35734,9.14048
87,Sales and Related Occupations,2015,1,16.869345,6.6173167
88,Educational Instruction and Library Occupations,2024,1,17.66553,10.128493
89,Management Occupations,2014,1,17.37777,4.3734694
90,Computer and Mathematical Occupations,2016,1,17.394672,8.502664
91,Computer and Mathematical Occupations,2016,1,16.961302,7.944155
92,Business and Financial Operations Occupations,2022,1,23.11738,4.9622765
93,Management Occupations,2021,1,16.4868,9.213013
94,Management Occupations,2021,1,17.199404,3.5740972
95,Computer and Mathematical Occupations,2022,1,18.84724,14.628576
96,Business and Financial Operations Occupations,2018,1,16.979916,6.2605457
97,Business and Financial Operations Occupations,2017,1,16.905624,6.8329277
98,Business and Financial Operations Occupations,2024,1,16.51932,9.198393
99,Business and Financial Operations Occupations,2018,1,17.274685,3.99594
100,Management Occupations,2024,1,17.194715,5.7150407
101,Educational Instruction and Library Occupations,2015,1,17.071512,6.035291
102,Business and Financial Operations Occupations,2022,1,16.91326,8.835392
103,Management Occupations,2018,1,17.989338,3.3009562
104,Sales and Related Occupations,2018,1,17.114153,5.950642
105,Computer and Mathematical Occupations,2024,1,16.935705,7.58625
106,Management Occupations,2023,1,17.89551,2.829191
107,Management Occupations,2014,1,16.959005,6.327392
108,Management Occupations,2022,1,17.469551,8.98063
109,Educational Instruction and Library Occupations,2023,1,16.73226,8.169411
110,Educational Instruction and Library Occupations,2024,1,18.027075,3.270407
111,Sales and Related Occupations,2021,1,17.140554,9.762552
112,Computer and Mathematical Occupations,2018,1,17.079155,6.012488
113,Sales and Related Occupations,2017,1,17.13783,9.775565
114,Computer and Mathematical Occupations,2020,1,17.274385,5.237631
115,Educational Instruction and Library Occupations,2021,1,16.905764,6.8280983
116,Sales and Related Occupations,2016,1,16.842567,6.725021
117,Computer and Mathematical Occupations,2024,1,16.92519,6.4888043
118,Computer and Mathematical Occupations,2019,1,17.02752,9.044506
119,Computer and Mathematical Occupations,2024,1,17.545918,8.419441
120,Computer and Mathematical Occupations,2020,1,18.978895,10.641942
121,Management Occupations,2021,1,18.548882,10.258274
122,Management Occupations,2018,1,16.523706,9.565553
123,Business and Financial Operations Occupations,2024,1,17.659475,8.589019
124,Computer and Mathematical Occupations,2022,1,15.601887,12.595386
125,Computer and Mathematical Occupations,2018,1,17.199455,9.202889
126,Educational Instruction and Library Occupations,2018,1,16.895508,9.644575
127,Sales and Related Occupations,2015,1,16.95263,7.4212503
128,Sales and Related Occupations,2020,1,17.444967,8.408721
129,Educational Instruction and Library Occupations,2024,1,16.919449,6.964752
130,Computer and Mathematical Occupations,2022,1,17.332148,4.1317286
131,Management Occupations,2019,1,16.508284,9.59167
132,Sales and Related Occupations,2017,1,16.600496,9.599864
133,Sales and Related Occupations,2016,1,18.964647,10.623341
134,Management Occupations,2023,1,17.24679,5.64785
135,Management Occupations,2023,1,17.383665,4.3715143
136,Sales and Related Occupations,2013,1,16.89983,9.628145
137,Management Occupations,2016,1,17.165573,5.8062806
138,Business and Financial Operations Occupations,2024,1,23.110115,4.9565086
139,Sales and Related Occupations,2023,1,18.170795,10.163399
140,Management Occupations,2018,1,17.035503,7.8774614
141,Computer and Mathematical Occupations,2017,1,17.353077,4.5020347
142,Computer and Mathematical Occupations,2019,1,17.209414,3.566541
143,Management Occupations,2020,1,23.11644,4.962471
144,Management Occupations,2023,1,16.468437,9.49145
145,Computer and Mathematical Occupations,2013,1,17.526468,8.398912
146,Computer and Mathematical Occupations,2022,1,17.22142,5.650573
147,Business and Financial Operations Occupations,2023,1,17.196142,3.8056767
148,Business and Financial Operations Occupations,2018,1,17.263775,9.793884
149,Management Occupations,2022,1,16.47094,9.446104
150,Educational Instruction and Library Occupations,2018,1,16.947716,7.6806893
151,Business and Financial Operations Occupations,2019,1,17.161839,9.816568
152,Business and Financial Operations Occupations,2017,1,17.921,3.3649554
153,Sales and Related Occupations,2021,1,17.378864,4.3705974
154,Business and Financial Operations Occupations,2024,1,17.244835,9.8961315
155,Management Occupations,2021,1,16.991505,7.854873
